대피시설명,지번주소,도로명주소,대피시설 인원수,경도,위도
중계본동주민센터 지하시설,서울특별시 노원구 중계동 363-4,서울특별시 노원구 중계로 143,400,127.080285,37.647803
대명프라자 지하주차장,서울특별시 노원구 중계동 364-22,서울특별시 노원구 한글비석로 254,1081,127.077088,37.650404
2001아울렛,서울특별시 노원구 중계동 514-2,서울특별시 노원구 공릉로 438,3030,127.067198,37.646125
노원을지병원,서울특별시 노원구 하계동 280-1,서울특별시 노원구 한글비석로 68,16969,127.069591,37.636559
상명중학교,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,601,127.068044,37.649548
상명고등학교,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,601,127.068044,37.649548
상명초등학교,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,761,127.068044,37.649548
금호프라자 지하 34층 주차장,서울특별시 노원구 상계동 357-2,서울특별시 노원구 상계로5길 32,800,127.062842,37.657116
장석교회,서울특별시 노원구 월계동 873-1,서울특별시 노원구 월계로44길 23,2400,127.051768,37.624473
홍파복지원,서울특별시 노원구 상계동 1266,서울특별시 노원구 동일로248길 30,945,127.056931,37.680483
중계노인전문요양원,서울특별시 노원구 중계동 501-9,서울특별시 노원구 섬밭로 313,1289,127.061589,37.643562
신동아아파트상가,서울특별시 노원구 상계동 463,서울특별시 노원구 한글비석로52길 64,1696,127.066813,37.667255
영빈빌딩,서울특별시 노원구 상계동 358-31,서울특별시 노원구 상계로3길 28,961,127.062634,37.657397
